Red. ID,Requirement,Type
1,"Globally, it is never the case that joint1_angle < -170 or joint1_angle > 170 holds.",AbsenceRequirement_GLOBALLY
2,"Globally, it is never the case that joint2_angle < -130 or joint2_angle > 130 holds.",AbsenceRequirement_GLOBALLY
3,"Globally, it is never the case that joint3_angle < -130 or joint3_angle > 130 holds.",AbsenceRequirement_GLOBALLY
4,"Globally, it is never the case that joint4_angle < -90 or joint4_angle > 90 holds.",AbsenceRequirement_GLOBALLY
5,"Globally, it is never the case that joint1_speed > 90 holds.",AbsenceRequirement_GLOBALLY
6,"Globally, it is never the case that joint2_speed > 90 holds.",AbsenceRequirement_GLOBALLY
7,"Globally, it is never the case that joint3_speed > 90 holds.",AbsenceRequirement_GLOBALLY
8,"Globally, it is never the case that joint4_speed > 90 holds.",AbsenceRequirement_GLOBALLY
9,"Globally, it is never the case that joint1_acc > 10 holds.",AbsenceRequirement_GLOBALLY
10,"Globally, it is never the case that joint2_acc > 10 holds.",AbsenceRequirement_GLOBALLY
11,"Globally, it is never the case that joint3_acc > 10 holds.",AbsenceRequirement_GLOBALLY
12,"Globally, it is never the case that joint4_acc > 10 holds.",AbsenceRequirement_GLOBALLY
13,"Globally, it is never the case that ef_force > 2.5 holds.",AbsenceRequirement_GLOBALLY
14,"Globally, it is never the case that proximity_sensor < 0 holds.",AbsenceRequirement_GLOBALLY
15,"Globally, it is always the case that if arm_idle holds, then joint1_speed = 0 and joint2_speed = 0 and joint3_speed = 0 and joint4_speed = 0 and joint1_acc = 0 and joint2_acc = 0 and joint3_acc = 0 and joint4_acc = 0 holds as well.",InvariantRequirement_GLOBALLY
16,"Globally, it is always the case that if joint1_speed = 0 and joint2_speed = 0 and joint3_speed = 0 and joint4_speed = 0 and joint1_acc = 0 and joint2_acc = 0 and joint3_acc = 0 and joint4_acc = 0 holds, then arm_idle holds as well.",InvariantRequirement_GLOBALLY
17,"Globally, it is always the case that if joint1_speed != 0 or joint2_speed != 0 or joint3_speed != 0 or joint4_speed != 0 holds, then arm_moving holds as well.",InvariantRequirement_GLOBALLY
